	user_id	job_seeking_status	number_contacts	A1	A2	A3	A4	A5	action	pa_1	pa_2	pa_3	pa_4	pa_5	qtt_actions	timestamp
17281	3768	2	0	0	0	16	1	32	5	5	5	3	3	3	49	426136
17282	3768	2	0	0	0	16	1	32	5	5	3	3	3	5	49	426147
17283	3768	2	0	0	0	16	1	32	5	3	3	3	5	3	49	426168
17284	3768	2	0	0	0	16	1	32	5	3	3	5	3	5	49	426204
17285	3768	2	0	0	0	16	1	32	5	3	5	3	5	3	49	426250
17286	3768	2	0	0	0	16	1	32	5	5	3	5	3	3	49	426265
17287	3768	2	0	0	0	16	1	32	5	3	5	3	3	3	49	426269
17288	3768	2	0	0	0	16	1	32	5	5	3	3	3	3	49	426347
17289	3768	2	0	0	0	16	1	32	5	3	3	3	3	3	49	426464
17290	3768	2	0	0	0	16	1	32	5	3	3	3	3	3	49	426523
17291	3768	2	0	0	0	16	1	32	3	3	3	3	3	5	49	426645
17292	3768	2	0	0	0	16	1	32	3	3	3	3	5	3	49	426680
17293	3768	2	0	0	0	16	1	32	5	3	3	5	3	5	49	426760
17294	3768	2	0	0	0	16	1	32	5	3	5	3	5	5	49	426762
17295	3768	2	0	0	0	16	1	32	3	5	3	5	5	3	49	426768
17296	3768	2	0	0	0	16	1	32	5	3	5	5	3	3	49	426866
17297	3768	2	0	0	0	16	1	32	3	5	5	3	3	5	49	426904
17298	3768	2	0	0	0	16	1	32	3	5	3	3	5	5	49	426915
17299	3768	2	0	0	0	16	1	32	3	3	3	5	5	5	49	426930
17300	3768	2	0	0	0	16	1	32	3	3	5	5	5	5	49	426937
17301	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	426938
17302	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	426962
17303	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427030
17304	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	427034
17305	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427046
17306	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	427082
17307	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	427100
17308	3768	2	0	0	0	16	1	32	3	5	5	5	5	5	49	427112
17309	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427122
17310	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427123
17311	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427177
17312	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427228
17313	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	427234
17314	3768	2	0	0	0	16	1	32	5	5	5	5	5	3	49	427291
17315	3768	2	0	0	0	16	1	32	5	5	5	5	3	3	49	427351
17316	3768	2	0	0	0	16	1	32	5	5	5	3	3	0	49	427385
17317	3768	2	0	0	0	16	1	32	5	5	3	3	0	0	49	427409
17318	3768	2	0	0	0	16	1	32	4	3	3	0	0	0	49	427427
17319	3768	2	0	0	0	16	1	32	5	3	0	0	0	0	49	427445
17320	3768	2	0	0	0	16	1	32	3	0	0	0	0	0	49	427472
17321	3769	3	31	0	0	0	5	0	4	4	4	4	4	0	5	425343
17322	3769	3	31	0	0	0	5	0	4	4	4	4	0	0	5	425689
17323	3769	3	31	0	0	0	5	0	4	4	4	0	0	0	5	426194
17324	3769	3	31	0	0	0	5	0	4	4	0	0	0	0	5	426372
17325	3769	3	31	0	0	0	5	0	4	0	0	0	0	0	5	443637
17326	3770	2	1	0	0	2	0	7	5	3	5	5	5	5	9	472032
17327	3770	2	1	0	0	2	0	7	5	5	5	5	5	5	9	472327
17328	3770	2	1	0	0	2	0	7	5	5	5	5	5	5	9	472493
17329	3770	2	1	0	0	2	0	7	5	5	5	5	5	5	9	472581
